Rank,Player ID,Player Name,Team,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,12860,"Fairbairn, Ka'imi",HOU,K,30.0,32.2,40.8,46.3,0.0,9.8,11.3,10.8,8.9,5.5,164.7
2,12437,"Myers, Jason",SEA,K,43.5,44.8,34.1,38.4,0.0,6.3,11.1,9.6,7.1,4.3,156.6
3,16414,"Aubrey, Brandon",DAL,K,36.9,37.3,33.7,42.6,0.0,7.3,6.0,10.1,10.4,8.9,142.3
4,16681,"Reichard, Will",MIN,K,30.0,30.2,30.4,34.7,0.0,5.0,7.3,8.0,10.1,4.3,136.4
5,16680,"Little, Cam",JAC,K,41.0,41.0,27.6,31.1,0.0,5.3,7.6,8.5,6.2,3.5,134.1
6,14717,"McLaughlin, Chase",TBB,K,38.2,39.5,28.9,33.8,0.0,8.0,7.1,5.4,8.5,4.8,132.9
7,16846,"Bates, Jake",DET,K,54.4,56.5,25.8,31.9,0.0,4.6,8.0,8.4,4.8,6.0,131.8
8,15979,"Dicker, Cameron",LAC,K,27.0,28.5,31.2,33.7,0.4,6.1,10.9,9.1,4.7,2.6,131.4
9,16843,"Mevis, Harrison",LAR,K,51.9,53.0,23.2,26.2,0.0,4.7,5.4,10.3,2.8,3.0,128.4
10,12956,"Lutz, Wil",DEN,K,42.5,42.5,27.9,33.1,0.0,9.1,10.1,4.2,4.4,5.2,123.8
11,17222,"Loop, Tyler",BAL,K,45.3,47.3,26.0,30.6,0.0,8.3,9.7,6.2,1.8,4.6,119.3
12,13354,"Butker, Harrison",KCC,K,28.0,30.5,28.2,32.0,0.6,7.2,8.5,8.6,3.3,3.8,116.4
13,11936,"Boswell, Chris",PIT,K,33.0,33.7,25.2,29.5,0.0,6.1,5.8,6.6,6.7,4.2,115.9
14,16292,"Ryland, Chad",ARI,K,35.6,36.1,27.5,35.3,0.0,6.0,8.4,6.6,6.4,7.9,113.8
15,11945,"Santos, Cairo",CHI,K,35.0,35.4,24.5,29.1,0.0,4.4,7.6,8.1,4.3,4.6,111.5
16,13303,"Elliott, Jake",PHI,K,40.3,43.6,25.6,33.0,0.0,5.4,9.8,7.8,2.6,7.4,108.2
17,13719,"Pineiro, Eddy",SFO,K,33.0,37.0,22.6,25.6,0.0,4.5,6.6,7.7,3.7,3.0,106.7
18,16896,"Shrader, Spencer",IND,K,27.6,28.9,24.1,27.0,0.0,6.8,8.1,5.3,3.9,2.9,104.4
19,8851,"Folk, Nick",ATL,K,20.6,21.3,24.0,26.9,0.0,3.2,7.7,7.0,6.2,3.0,102.8
20,17220,"Borregales, Andres",NEP,K,43.9,45.2,22.1,28.5,0.9,5.8,7.6,4.7,3.1,6.5,101.7
21,14600,"Slye, Joey",TEN,K,26.6,27.5,24.4,30.8,0.0,5.3,5.5,6.6,7.0,6.3,101.5
22,15369,"Patterson, Riley",MIA,K,26.1,26.9,21.2,23.4,0.0,4.0,6.2,7.6,3.3,2.3,97.0
23,14983,"Bass, Tyler",BUF,K,38.1,41.4,16.4,18.4,0.0,4.4,3.5,4.9,3.6,2.0,93.6
24,15368,"McPherson, Evan",CIN,K,38.8,41.3,17.8,21.8,0.0,4.5,4.2,5.7,3.4,4.0,92.8
25,16444,"Grupe, Blake",IND,K,22.2,22.2,23.2,27.8,0.0,7.7,7.3,2.3,6.0,4.6,92.1
26,13347,"Gonzalez, Zane",MIA,K,21.7,23.0,20.2,24.6,0.0,1.2,2.8,9.0,7.2,4.5,92.1
27,17424,"Smyth, Charlie",NOS,K,26.0,26.3,24.1,33.0,0.0,4.3,7.8,5.4,6.6,8.9,90.4
28,17277,"Fitzgerald, Ryan",CAR,K,28.5,30.7,20.2,24.8,0.0,5.7,6.2,7.4,0.9,4.6,84.6
29,16286,"Moody, Jake",WAS,K,26.4,27.6,21.3,27.8,0.0,6.2,6.4,4.8,4.0,6.4,83.8
30,17668,"Smack, Trey",GBP,K,29.1,30.6,18.7,22.7,0.0,6.9,6.5,3.4,1.9,4.1,80.3
31,16419,"Szmyt, Andre",CLE,K,19.7,20.6,18.8,22.4,0.0,3.6,6.9,4.2,4.0,3.6,77.4
32,17434,"Sauls, Ben",NYG,K,24.3,25.8,17.8,20.3,0.4,5.9,7.6,3.4,0.5,2.5,74.8
33,13832,"Sanders, Jason",NYJ,K,15.2,15.2,17.0,18.3,0.0,4.2,5.9,3.2,3.8,1.3,73.2
34,14244,"Gay, Matt",LVR,K,22.1,22.3,17.6,23.1,0.0,4.0,4.8,5.5,3.4,5.5,70.9
35,15882,"York, Cade",NYJ,K,10.6,11.9,4.6,7.4,0.0,3.0,0.8,0.0,0.8,2.8,17.7

