Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,16161,"Robinson, Bijan",ATL,RB,293.9,1451.0,10.6,8.2,0.9,0.0,0.5,0.0,1.0,14.6,6.8,92.3,11.5,69.7,635.0,2.8,2.5,1.3,0.0,1.8,32.9,287.5
2,14802,"Taylor, Jonathan",IND,RB,336.7,1545.0,15.1,10.0,1.2,1.5,0.0,0.5,1.9,14.7,10.6,52.5,4.6,37.9,283.0,1.6,1.1,0.6,5.0,1.3,43.4,281.1
3,16162,"Gibbs, Jahmyr",DET,RB,222.6,1156.0,13.6,7.4,2.8,0.4,0.4,1.3,1.3,13.1,2.3,79.1,13.0,61.4,562.0,4.2,2.2,1.1,0.0,1.0,32.0,276.4
4,15715,"Cook, James",BUF,RB,287.0,1423.0,12.6,8.4,0.7,0.2,0.0,2.8,0.6,14.2,6.6,44.5,3.1,34.6,283.0,1.8,1.1,0.6,0.0,2.8,39.4,251.5
5,13130,"McCaffrey, Christian",SFO,RB,255.6,1005.0,6.5,5.8,0.7,0.0,0.0,0.0,0.0,11.8,2.0,103.1,19.7,81.2,725.0,6.3,4.7,1.5,0.0,0.7,38.1,248.6
6,12626,"Henry, Derrick",BAL,RB,264.4,1487.0,13.3,9.7,0.0,2.1,0.4,1.2,0.0,13.4,9.7,17.3,3.1,12.8,135.0,0.4,0.5,0.3,0.0,2.1,32.1,240.4
7,16167,"Achane, De'Von",MIA,RB,210.2,1112.0,6.5,2.3,1.2,0.7,0.3,1.3,0.8,12.9,2.2,81.2,11.2,63.1,459.0,4.1,1.8,0.9,0.0,0.2,26.4,220.3
8,13604,"Barkley, Saquon",PHI,RB,274.3,1299.0,8.5,2.7,1.8,0.8,0.4,0.0,2.9,12.1,8.6,43.7,5.6,29.7,246.0,1.2,1.0,0.5,0.0,1.0,29.4,213.3
9,15710,"Williams, Kyren",LAR,RB,253.2,1177.0,9.4,9.4,0.0,0.0,0.0,0.0,0.0,12.5,2.4,45.4,9.5,31.4,236.0,2.8,0.9,0.5,0.0,1.9,29.2,210.3
10,16181,"Brown, Chase",CIN,RB,233.0,1003.0,6.2,5.3,0.5,0.0,0.4,0.0,0.0,12.0,2.0,84.3,12.6,64.7,429.0,4.6,1.7,0.9,0.0,0.5,29.9,207.3
