Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,15794,"McBride, Trey",ARI,TE,172.1,32.1,124.9,1252.0,7.4,2.4,4.5,0.5,0.0,0.0,0.0,13.5,3.0,0.8,0.3,1.0,0.5,0.0,0.0,21.1,172.7
2,16641,"Bowers, Brock",LVR,TE,126.2,18.9,87.3,922.0,6.2,2.9,1.2,1.2,0.5,0.0,0.5,11.2,1.8,0.6,0.2,5.0,0.0,0.0,0.0,14.6,130.9
3,17104,"Loveland, Colston",CHI,TE,106.6,16.1,66.8,840.0,5.0,2.6,1.0,0.0,1.1,0.0,0.3,8.8,1.7,0.6,0.2,-2.0,0.0,0.0,0.0,9.3,115.9
4,13674,"Goedert, Dallas",PHI,TE,75.9,15.2,53.1,540.0,8.9,5.3,2.7,0.4,0.4,0.0,0.0,2.2,1.1,0.4,0.1,7.0,0.9,0.0,0.0,13.9,113.1
5,15329,"Pitts, Kyle",ATL,TE,109.2,12.6,72.3,823.0,4.2,2.3,1.0,0.0,0.5,0.5,0.0,5.8,1.6,0.5,0.2,0.0,0.0,0.0,0.0,8.0,107.7
6,13299,"Kittle, George",SFO,TE,76.9,13.6,58.6,722.0,6.1,3.4,2.1,0.1,0.5,0.0,0.0,4.2,1.4,0.5,0.2,-1.3,0.0,0.0,0.8,11.9,107.1
7,13671,"Andrews, Mark",BAL,TE,79.6,17.1,53.8,560.0,7.3,4.0,2.5,0.7,0.0,0.0,0.0,2.2,1.1,0.4,0.1,37.0,0.7,0.0,0.5,14.1,106.2
8,16222,"Kraft, Tucker",GBP,TE,76.8,14.7,54.0,725.0,5.3,2.1,2.9,0.3,0.0,0.0,0.0,2.9,1.4,0.5,0.2,12.0,0.0,0.0,0.0,9.1,105.4
9,14871,"Parkinson, Colby",LAR,TE,66.0,19.4,45.5,588.0,7.6,3.8,2.6,1.3,0.0,0.0,0.0,2.4,1.2,0.4,0.1,0.0,0.0,0.0,0.0,14.8,104.6
10,16214,"LaPorta, Sam",DET,TE,80.3,15.9,59.2,672.0,6.0,3.5,0.6,1.1,0.0,0.4,0.5,2.7,1.3,0.4,0.2,0.0,0.0,0.0,0.0,11.2,103.3
11,17103,"Fannin, Harold",CLE,TE,96.6,10.0,61.6,615.0,5.9,1.7,2.2,1.1,0.9,0.0,0.0,2.5,1.2,0.4,0.2,10.0,1.1,0.0,0.9,9.2,102.5
12,17102,"Warren, Tyler",IND,TE,114.1,22.0,72.3,747.0,3.7,1.5,2.2,0.0,0.0,0.0,0.0,3.0,1.5,0.5,0.2,6.0,0.7,0.0,0.0,17.0,101.7
13,12676,"Henry, Hunter",NEP,TE,95.3,19.7,61.6,715.0,4.6,1.8,0.9,1.4,0.5,0.0,0.0,2.9,1.4,0.5,0.2,0.0,0.0,0.0,0.0,16.7,98.9
14,11244,"Kelce, Travis",KCC,TE,107.9,14.9,73.5,720.0,3.8,1.8,1.0,0.6,0.4,0.0,0.0,4.6,1.4,0.5,0.2,1.0,0.0,0.0,0.4,9.6,95.4
15,16213,"Kincaid, Dalton",BUF,TE,72.3,12.1,50.1,600.0,5.1,0.7,3.1,1.2,0.0,0.0,0.0,2.4,1.2,0.4,0.2,0.0,0.0,0.0,0.0,11.0,90.7
16,14861,"Johnson, Juwan",NOS,TE,93.3,6.8,67.8,777.0,2.3,0.4,1.5,0.0,0.3,0.0,0.0,5.5,1.6,0.5,0.2,0.0,0.0,0.0,1.3,3.6,88.6
17,16723,"Barner, AJ",SEA,TE,64.6,13.0,47.1,467.0,5.8,1.8,3.1,0.8,0.0,0.0,0.0,1.9,0.9,0.3,0.1,9.0,0.5,0.0,0.0,11.4,85.3
18,15798,"Likely, Isaiah",NYG,TE,76.7,14.0,51.1,641.0,3.7,1.7,0.5,1.1,0.0,0.4,0.0,2.6,1.3,0.4,0.2,0.0,0.0,0.0,0.8,10.5,84.6
19,16036,"Tonges, Jake",SFO,TE,67.5,11.7,45.1,435.0,7.4,5.5,0.4,1.5,0.0,0.0,0.0,1.7,0.9,0.3,0.1,0.0,0.0,0.0,1.8,11.1,84.3
20,15799,"Ferguson, Jake",DAL,TE,105.0,18.1,76.0,605.0,4.3,3.5,0.5,0.3,0.0,0.0,0.0,2.4,1.2,0.4,0.2,1.0,0.0,0.0,2.3,13.1,83.4
21,14138,"Hockenson, T.J.",MIN,TE,92.6,13.4,65.5,633.0,3.3,2.7,0.0,0.6,0.0,0.0,0.0,2.5,1.3,0.4,0.2,0.0,0.0,0.0,0.0,7.8,82.8
22,16269,"Strange, Brenton",JAC,TE,85.1,14.8,57.4,625.0,3.3,2.2,0.2,0.9,0.0,0.0,0.0,2.5,1.3,0.4,0.2,0.0,0.0,0.0,0.2,7.2,82.3
23,13772,"Schultz, Dalton",HOU,TE,92.8,9.9,65.4,671.0,2.5,1.7,0.4,0.4,0.0,0.0,0.0,2.7,1.3,0.4,0.2,0.0,0.0,0.0,0.0,6.4,82.3
24,17543,"Sadiq, Kenyon",NYJ,TE,96.2,10.9,67.7,588.0,3.6,3.0,0.5,0.0,0.0,0.0,0.0,2.4,1.2,0.4,0.1,0.0,0.0,0.0,0.0,7.0,81.5
25,17099,"Gadsden, Oronde",LAC,TE,79.3,13.5,52.9,659.0,2.9,2.4,0.3,0.2,0.0,0.0,0.0,2.6,1.3,0.4,0.2,1.0,0.0,0.0,0.9,8.4,81.5
26,15331,"Freiermuth, Pat",PIT,TE,73.4,11.6,51.1,561.0,4.1,1.3,1.6,1.1,0.0,0.0,0.2,2.2,1.1,0.4,0.1,4.0,0.2,0.0,0.5,10.6,81.1
27,15889,"Okonkwo, Chigoziem",WAS,TE,79.9,7.0,53.6,549.0,3.5,2.3,0.0,0.3,0.0,0.9,0.0,2.2,1.1,0.4,0.1,0.0,0.0,0.0,0.0,5.6,76.8
28,13192,"Njoku, David",LAC,TE,63.8,9.5,45.5,468.0,4.6,3.3,1.3,0.0,0.0,0.0,0.0,1.5,0.8,0.3,0.1,0.0,0.0,0.0,0.0,4.6,74.4
29,15802,"Otton, Cade",TBB,TE,79.8,9.3,54.6,559.0,2.7,1.5,1.2,0.0,0.0,0.0,0.0,2.2,1.1,0.4,0.1,0.0,0.0,0.0,0.0,6.6,72.2
30,13672,"Gesicki, Mike",CIN,TE,68.3,9.7,49.5,521.0,3.4,0.5,2.4,0.3,0.0,0.2,0.0,2.1,1.0,0.3,0.1,0.0,0.0,0.0,0.7,7.5,71.2
