Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,15281,"Chase, Ja'Marr",CIN,WR,201.0,31.3,131.8,1592.0,12.7,4.9,3.7,0.0,0.9,1.4,1.7,14.7,9.4,1.1,0.4,22.0,0.0,0.0,0.4,24.2,236.4
2,16211,"Nacua, Puka",LAR,WR,177.2,21.2,120.7,1578.0,9.3,3.3,2.3,1.2,2.1,0.4,0.0,14.6,10.4,1.1,0.4,101.0,1.8,0.0,0.6,23.0,232.9
3,16185,"Smith-Njigba, Jaxon",SEA,WR,161.2,21.5,111.1,1521.0,9.5,3.7,3.5,0.9,0.0,0.6,0.8,14.6,8.6,1.0,0.4,27.0,0.0,0.0,0.6,15.6,210.8
4,15287,"St. Brown, Amon-Ra",DET,WR,158.9,35.7,115.0,1367.0,10.5,7.0,1.6,1.0,0.5,0.0,0.5,13.8,5.0,0.9,0.3,7.0,0.0,0.0,0.5,28.1,199.2
5,14832,"Lamb, CeeDee",DAL,WR,165.2,23.0,97.5,1296.0,4.6,0.5,2.6,0.3,0.2,0.0,1.1,13.0,4.8,0.9,0.3,24.0,0.0,0.0,0.5,15.7,159.9
6,15762,"Pickens, George",DAL,WR,126.9,21.8,76.1,1155.0,6.5,2.3,0.8,0.2,2.4,0.6,0.2,12.4,2.3,0.8,0.3,1.0,0.0,17.0,0.0,16.6,156.5
7,16194,"Rice, Rashee",KCC,WR,126.1,25.3,80.2,950.0,7.7,5.1,1.3,1.1,0.0,0.2,0.0,11.5,1.9,0.6,0.2,49.0,1.4,11.0,0.0,25.6,156.1
8,15751,"London, Drake",ATL,WR,139.1,22.1,81.5,1076.0,7.8,4.3,2.4,0.3,0.4,0.4,0.0,12.0,2.2,0.7,0.3,-1.3,0.0,0.0,0.4,17.5,154.5
9,11675,"Adams, Davante",LAR,WR,125.6,26.1,61.9,888.0,10.7,8.0,1.5,0.7,0.0,0.5,0.0,10.3,1.8,0.6,0.2,2.0,0.0,15.0,0.0,21.6,153.3
10,15768,"Pierce, Alec",IND,WR,91.8,12.1,51.6,872.0,10.6,3.7,2.3,2.2,1.0,0.6,0.9,10.0,1.7,0.6,0.2,0.0,0.0,0.0,0.3,14.6,150.4
