,Fantasy,,,,,,,,
Chg,Player,Picture,Picture,Picture,Picture,Picture,Picture,Picture,Picture
,Sort First: ,,,,,,,,
,Picture,,,,,,,,
,     Last: ,,,,,,,,
,Picture,,,,,,,,
,Picture,,,,,,,,
, Brandon Aubrey,DAL,14,35,40,87.50%,45,46,150
, Cameron Dicker,LAC,7,35,39,89.70%,41,41,146
, Ka'imi Fairbairn ,HOU,8,34,38,89.50%,36,37,138
, Jason Myers,SEA,11,32,37,86.50%,42,43,138
, Wil Lutz,DEN,10,29,32,90.60%,46,46,133
, Chase McLaughlin,TB,10,31,35,88.60%,38,39,131
, Harrison Butker,KC,5,30,35,85.70%,40,42,130
, Eddy Pineiro,SF,8,30,34,88.20%,40,42,130
, Tyler Bass ,BUF,7,25,30,83.30%,51,54,126
, Tyler Loop,BAL,13,27,31,87.10%,44,46,125
, Jake Bates,DET,6,26,31,83.90%,47,49,125
, Cam Little,JAC,7,28,31,90.30%,41,42,125
, Will Reichard,MIN,6,29,32,90.60%,38,39,125
, Andres Borregales,NE,11,26,31,83.90%,46,48,124
, Cairo Santos,CHI,10,28,32,87.50%,40,41,124
, Trey Smack ,GB,11,28,33,84.80%,40,42,124
, Blake Grupe,IND,13,28,33,84.80%,39,41,123
, Evan McPherson,CIN,6,26,30,86.70%,43,45,121
, Jake Moody,WAS,7,27,33,81.80%,40,43,121
, Chris Boswell,PIT,9,28,33,84.80%,36,37,120
, Harrison Mevis,LAR,11,23,25,92.00%,51,53,120
, Charlie Smyth,NO,8,28,33,84.80%,36,38,120
, Jake Elliott,PHI,10,25,30,83.30%,45,46,120
, Ben Sauls ,NYG,8,26,30,86.70%,41,42,119
, Chad Ryland,ARI,14,26,32,81.30%,34,35,112
, Riley Patterson,MIA,6,27,31,87.10%,30,32,111
, Ryan Fitzgerald,CAR,5,25,29,86.20%,35,37,110
, Nick Folk,ATL,11,24,26,92.30%,37,37,109
, Matt Gay,LV,13,26,32,81.30%,31,32,109
, Joey Slye,TEN,9,26,32,81.30%,28,30,106
, Cade York,NYJ,13,24,30,80.00%,30,33,102
, Andre Szmyt,CLE,11,23,26,88.50%,32,33,101
