,Receiving,Rushing,Fantasy,,,,,,,
Chg,Player,Picture,Picture,Picture,Picture,Picture,Picture,Picture,Picture,Picture
,Sort First: ,,,,,,,,,
,Picture,,,,,,,,,
,   Last: ,,,,,,,,,
,Picture,,,,,,,,,
,Picture,,,,,,,,,
, Puka Nacua,LAR,11,116,"1,561",9,10,72,1,279.3
, Ja'Marr Chase,CIN,6,116,"1,474",11,2,11,0,270.5
, Amon-Ra St. Brown,DET,6,119,"1,377",10,4,14,0,258.6
, Jaxon Smith-Njigba,SEA,11,105,"1,521",8,5,30,0,253.6
, Drake London,ATL,11,99,"1,312",7,0,0,0,220.7
, Justin Jefferson,MIN,6,95,"1,288",7,0,0,0,218.3
, CeeDee Lamb,DAL,14,87,"1,177",8,0,0,0,207.2
, Nico Collins,HOU,8,79,"1,186",7,0,0,0,200.1
, Chris Olave,NO,8,94,"1,110",7,0,0,0,200
, Rashee Rice ,KC,5,96,"1,117",7,0,0,0,199.7
, A.J. Brown,NE,11,86,"1,155",7,0,0,0,198.5
, Garrett Wilson,NYJ,13,100,"1,155",5,0,0,0,193.5
, Zay Flowers,BAL,13,79,"1,117",6,10,59,0,193.1
, Jameson Williams,DET,6,66,"1,088",7,8,42,0,188
, DeVonta Smith,PHI,10,83,"1,122",6,0,0,0,187.7
, George Pickens,DAL,14,74,"1,102",7,0,0,0,187.2
, Davante Adams,LAR,11,70,911,10,0,0,0,186.1
, Emeka Egbuka,TB,10,78,"1,046",7,0,0,0,185.6
Picture, Malik Nabers ,NYG,8,81,"1,077",6,0,0,0,184.2
, Tetairoa McMillan,CAR,5,78,"1,081",6,0,0,0,181.1
, Mike Evans,SF,8,69,955,7,0,0,0,172
, Christian Watson ,GB,11,65,982,7,0,0,0,170.7
, Jaylen Waddle,DEN,10,72,987,6,0,0,0,170.7
, Ladd McConkey,LAC,7,76,956,6,0,0,0,169.6
, D.J. Moore,BUF,7,71,955,6,8,45,0,169.5
, Tee Higgins,CIN,6,65,906,8,0,0,0,169.1
, Rome Odunze,CHI,10,65,945,7,0,0,0,169
, Luther Burden III ,CHI,10,70,926,6,6,33,0,166.9
, Alec Pierce ,IND,13,66,"1,017",5,0,0,0,164.7
, DK Metcalf,PIT,9,67,944,6,0,0,0,163.9
, Terry McLaurin,WAS,7,65,937,6,0,0,0,162.2
, Marvin Harrison Jr.,ARI,14,64,933,6,0,0,0,159.3
, Courtland Sutton,DEN,10,63,848,7,0,0,0,156.3
, Michael Pittman Jr.,PIT,9,76,877,5,0,0,0,155.7
, Jayden Reed,GB,11,66,815,5,11,68,0,151.3
, Carnell Tate,TEN,9,65,867,5,0,0,0,149.2
, Jakobi Meyers,JAC,7,67,782,5,3,19,0,143.6
, Wan'Dale Robinson,TEN,9,77,796,4,0,0,0,142.1
, Chris Godwin,TB,10,68,779,5,0,0,0,139.9
, Xavier Worthy,KC,5,57,735,4,12,76,1,139.6
, Brian Thomas Jr.,JAC,7,56,814,5,0,0,0,139.4
, Michael Wilson,ARI,14,66,822,4,0,0,0,137.2
, Jordan Addison,MIN,6,55,769,5,3,19,0,136.3
, Romeo Doubs,NE,11,58,759,5,0,0,0,134.9
, Khalil Shakir,BUF,7,72,766,4,0,0,0,134.6
, Josh Downs ,IND,13,71,737,4,0,0,0,133.2
, Quentin Johnston,LAC,7,50,707,6,0,0,0,131.7
, Jordyn Tyson ,NO,8,61,783,4,0,0,0,130.8
, Parker Washington,JAC,7,58,766,4,0,0,0,127.6
, Matthew Golden,GB,11,54,702,5,0,0,0,127.2
