id,stats_id,cbs_id,fleaflicker_id,nfl_id,espn_id,fftoday_id,numfire_id,fantasypro_id,fantasydata_id,fantasynerd_id,rts_id,fantasypro_num_id,gsis_id,sleeper_id
0501,100002,1904,2331,100003,60002,9000,buffalo-dst,buffalo-defense,37,1047,59,8030,,
0502,100011,1912,2341,100014,60011,9001,indianapolis-dst,indianapolis-defense,14,1051,104,8130,,
0503,100015,1915,2344,100019,60015,9002,miami-dst,miami-defense,64,1053,119,8160,,
0504,100017,1931,2346,100021,60017,9003,new-england-dst,new-england-defense,21,1041,134,8180,,
0505,100020,1919,2349,100024,60020,9004,new-york-jets-dst,new-york-jets-defense,82,1042,144,8210,,
0506,100004,1907,2334,100006,60004,9005,cincinnati-dst,cincinnati-defense,7,1059,74,8060,,
0507,100005,1930,2335,100007,60005,9006,cleveland-dst,cleveland-defense,8,1060,79,8070,,
0508,100010,1928,2358,100012,60010,9007,tennessee-dst,tennessee-defense,34,1044,189,8300,,
0509,100030,1913,2342,100015,60030,9029,jacksonville-dst,jacksonville-defense,52,1052,109,8140,,
0510,100023,1922,2352,100027,60023,9008,pittsburgh-dst,pittsburgh-defense,28,1037,159,8240,,
0511,100007,1909,2337,100009,60007,9009,denver-dst,denver-defense,49,1061,89,8090,,
0512,100012,1914,2343,100016,60012,9010,kansas-city-dst,kansas-city-defense,55,1064,114,8150,,
0513,100013,1920,2350,100018,60013,9011,oakland-dst,oakland-defense,83,1066,149,8220,,
0514,100024,1924,2353,100028,60024,9033,los-angeles-chargers-d-st,san-diego-defense,84,1054,164,8250,,
0515,100026,1926,2354,100030,60026,9013,seattle-dst,seattle-defense,90,1056,169,8260,,
0516,100006,1908,2336,100008,60006,9014,dallas-dst,dallas-defense,48,1039,84,8080,,
0517,100019,1918,2348,100023,60019,9015,new-york-giants-dst,new-york-giants-defense,75,1036,139,8200,,
0518,100021,1921,2351,100025,60021,9016,philadelphia-dst,philadelphia-defense,26,1043,154,8230,,
0519,100022,1901,2328,100026,60022,9017,arizona-dst,arizona-defense,1,1045,44,8000,,
0520,100028,1929,2359,100032,60028,9018,washington-dst,washington-defense,97,1058,194,8310,,
0521,100003,1906,2333,100005,60003,9019,chicago-dst,chicago-defense,38,1049,69,8050,,
0522,100008,1910,2338,100010,60008,9020,detroit-dst,detroit-defense,11,1062,94,8100,,
0523,100009,1911,2339,100011,60009,9021,green-bay-dst,green-bay-defense,12,1050,99,8110,,
0524,100016,1916,2345,100020,60016,9022,minnesota-dst,minnesota-defense,67,1040,124,8170,,
0525,100027,1927,2357,100031,60027,9023,tampa-bay-dst,tampa-bay-defense,95,1057,184,8290,,
0526,100001,1902,2329,100001,60001,9024,atlanta-dst,atlanta-defense,2,1046,49,8010,,
0527,100029,1905,2332,100004,60029,9028,carolina-dst,carolina-defense,5,1048,64,8040,,
0528,100014,1923,2356,100017,60014,9032,los-angeles-rams-d-st,los-angeles-defense,32,1067,179,8280,,
0529,100018,1917,2347,100022,60018,9026,new-orleans-dst,new-orleans-defense,69,1065,129,8190,,
0530,100025,1925,2355,100029,60025,9027,san-francisco-dst,san-francisco-defense,93,1055,174,8270,,
0531,100033,1903,2330,100002,60033,9030,baltimore-dst,baltimore-defense,36,1038,54,8020,,
0532,100034,1932,2340,100013,60034,9031,houston-dst,houston-defense,13,1063,9127,8120,,
10005,24193,1116572,6797,496961,13482,11627,dekoda-watson,dekoda-watson,12063,,,,00-0027812,690
10009,24198,1746634,6734,1037885,13409,11632,marc-mariani,marc-mariani,11084,1160,13423,,00-0027816,539
10013,24102,1274059,6804,2508068,13491,11640,c-j-wilson,c.j.-wilson,11405,,,,00-0027822,603
10015,24208,559806,6690,497226,13357,11643,jim-dray,jim-dray,11555,1183,,,00-0027825,626
10020,24213,1746635,6735,1037901,13411,11648,ricardo-mathews,ricardo-mathews,11139,,,,00-0027829,552
10026,24219,1117486,6674,494261,13340,11654,kurt-coleman,kurt-coleman,11311,,,,00-0027835,581
10031,24225,1746636,6736,1037913,13412,11659,robert-mcclain,robert-mcclain,11464,,,,00-0027840,614
10048,24262,1662348,6834,497145,13536,11754,joique-bell,joique-bell,12323,1220,13466,,00-0027218,736
10063,24326,564012,7006,2507918,13697,,chris-maragos,chris-maragos,11589,,,,00-0027378,636
10067,9707,1675742,6432,89798,13158,11673,antone-smith,antone-smith,11439,937,13502,,00-0026855,609
10074,24603,1128845,7175,494259,13338,11684,barry-church,barry-church,11271,,,,00-0027416,575
10077,24400,1272286,6957,2507999,13587,11719,chris-ivory,christopher-ivory,12239,1227,13493,,00-0027531,717
10080,24553,1684073,6881,2507855,13553,11721,victor-cruz,victor-cruz,12246,1262,13495,,00-0027265,719
10084,24508,1116667,7092,1037374,13769,11695,sam-shields,sam-shields,11402,,,,00-0027440,602
10097,24311,1114348,6997,497121,13606,11735,thaddeus-lewis,thaddeus-lewis,13697,1214,13876,,00-0027253,1022
10099,24507,559515,7170,2507948,13779,11696,frank-zombo,frank-zombo,12195,,,,00-0027442,708
10103,24120,1117294,6743,494289,13419,11554,sherrick-mcmanis,sherrick-mcmanis,11107,,,10941,00-0027743,545
10106,24405,1130539,6906,496782,13566,11718,junior-galette,junior-galette,12241,,,,00-0027551,718
10110,9666,1675666,6463,2507737,13097,11743,darrel-young,darrel-young,11969,1543,14243,,00-0026852,682
10111,24294,1116474,7002,2507837,13608,11716,kyle-love,kyle-love,10977,,,,00-0027236,517
10122,24590,1116705,7107,494307,13645,11736,darian-stewart,darian-stewart,11548,,,,00-0027256,625
10123,24608,559624,7192,2507828,13726,11740,logan-paulsen,logan-paulsen,11345,1322,13541,,00-0027215,587
10139,24303,1115107,6883,2507883,13555,11723,jeff-cumberland,jeff-cumberland,10992,1313,13874,,00-0027321,521
10143,9673,1675182,6470,2507590,12895,11750,steve-mclendon,steve-mclendon,11767,,,11473,00-0026564,667
10149,24578,1620001,6844,2507917,13681,11732,tramaine-brock,tramaine-brock,11579,,,11147,00-0027375,633
10178,24292,1246078,6852,2507834,13541,11779,sergio-brown,sergio-brown,10968,,,,00-0027232,513
10186,9758,563731,6507,79605,13165,11782,josh-mauga,josh-mauga,12430,,,,00-0027170,751
10198,9596,1675102,6510,2507597,12757,11792,colt-anderson,colt-anderson,12491,,,,00-0026578,760
10220,24759,1786001,7335,2525323,13939,11808,andrew-sendejo,andrew-sendejo,12554,,,10963,00-0027914,770
10224,24336,1114353,7074,2507843,13766,11817,vincent-rey,vincent-rey,12581,,,,00-0027245,774
10228,24665,1115035,7248,2517637,13812,11823,george-johnson,george-johnson,12626,,,,00-0027495,779
10233,24746,1758984,7320,2508077,13922,,teddy-williams,teddy-williams,12643,1645,,,00-0027853,781
10241,24735,1754432,6435,2527672,13913,11841,will-tukuafu,will-tukuafu,12649,2238,15052,,00-0027905,782
10244,24259,1732362,6858,2507817,13544,11844,rafael-bush,rafael-bush,12668,,,,00-0027195,783
10250,24685,1243766,7264,2508007,13843,11850,marcus-sherels,marcus-sherels,12681,,,,00-0027547,784
10258,24800,1724820,7367,2495479,13990,11867,nick-fairley,nick-fairley,13214,,,,00-0027951,927
10260,24792,1632296,7379,2495504,13980,11859,patrick-peterson,patrick-peterson,13415,,,9856,00-0027943,972
10261,24791,1673207,7369,2495450,13983,11858,a-j-green,aj-green,12845,1441,13555,9857,00-0027942,830
10262,24797,1630777,7368,2495441,13987,11864,blaine-gabbert,blaine-gabbert,12982,1393,13561,9858,00-0027948,862
10263,24807,1115762,7365,2495140,13965,11874,adrian-clayborn,adrian-clayborn,13355,,,9859,00-0027958,961
10264,24806,1263300,7360,2495108,13975,11873,prince-amukamara,prince-amukamara,13135,,,9860,00-0027957,908
10265,24790,1632200,7366,2495478,13992,11857,marcell-dareus,marcell-dareus,12725,,,,00-0027941,795
10266,24818,1243804,7370,2508109,13977,11885,cameron-heyward,cameron-heyward,12902,,,9862,00-0027969,843
10267,24789,1620879,7377,2495202,13976,11856,von-miller,von-miller,13022,,,9863,00-0027940,871
10268,24861,1632241,7428,2495443,14037,11928,ryan-mallett,ryan-mallett,12771,1396,13625,,00-0028012,810
10269,24801,1630332,7382,2495485,13984,11868,robert-quinn,robert-quinn,13393,,,9865,00-0027952,967
10270,24840,1620490,7437,2495210,14049,11907,stephen-paea,stephen-paea,13202,,,,00-0027991,924
10271,24793,1623794,7372,2495454,13982,11860,julio-jones,julio-jones,13291,1446,13557,9867,00-0027944,947
10272,24798,1631198,7390,2495488,13979,11865,j-j-watt,jj-watt,12955,,,9868,00-0027949,856
10273,24788,1273186,7378,2495455,13994,11855,cam-newton,cam-newton,13320,1398,13552,9869,00-0027939,954
10274,24794,1630791,7384,2495487,13988,11861,aldon-smith,aldon-smith,13453,,,9870,00-0027945,986
10275,24873,1272275,7394,2495116,14020,11940,allen-bailey,allen-bailey,13029,,,9871,00-0028024,875
10276,24815,1623793,7371,2495466,13981,11882,mark-ingram-1,mark-ingram,13337,1415,13579,9872,00-0027966,956
10277,24857,1620558,7417,2495493,14048,11924,justin-houston,justin-houston,13036,,,9873,00-0028008,878
10280,24803,1243851,7374,2495190,13973,11870,ryan-kerrigan,ryan-kerrigan,13166,,,9876,00-0027954,917
10282,24826,1244512,7393,2495491,14015,11893,akeem-ayers,akeem-ayers,12910,,,,00-0027977,844
10284,25836,1619870,8479,2532822,15019,12400,jared-crick,jared-crick,13962,,,,00-0029417,1100
10285,24805,1630900,7375,2495483,13989,11872,corey-liuget,corey-liuget,13091,,,9880,00-0027956,894
10289,24845,1242961,7447,2495459,14032,11912,torrey-smith,torrey-smith,12830,1458,13609,,00-0027996,826
10292,24811,1272992,7373,2495184,13971,11878,cameron-jordan,cameron-jordan,13338,,,9886,00-0027962,957
10294,24814,1114290,7385,2508107,13963,11881,jimmy-smith-1,jimmy-smith,12829,,,9888,00-0027965,825
10295,24821,1632499,7451,2508110,14045,11888,aaron-williams,aaron-williams,12747,,,,00-0027972,800
10296,24799,1116559,7380,2495215,13966,11866,christian-ponder,christian-ponder,13270,1399,13563,,00-0027950,941
10297,24823,1130583,7424,2495186,14001,11890,colin-kaepernick,colin-kaepernick,13443,1394,13587,,00-0027974,980
10300,24932,1631866,7566,2495471,14193,11999,jacquizz-rodgers,jacquizz-rodgers,13299,1424,13696,,00-0028083,949
10301,24970,1636732,7597,2495472,14186,12037,jordan-todman,jordan-todman,13102,1429,13734,,00-0028121,895
10302,24858,1123691,7435,2495207,14005,11925,demarco-murray,demarco-murray,13124,1421,13622,,00-0028009,904
10303,24843,1273006,7450,2495473,14017,11910,shane-vereen,shane-vereen,12780,1430,13607,,00-0027994,814
10305,24902,1243592,7518,2495172,14159,11969,kendall-hunter,kendall-hunter,13440,1414,13666,,00-0028053,978
10307,24866,1272283,7414,2495158,14021,11933,leonard-hankerson,leonard-hankerson,13162,1442,13630,,00-0028017,914
10308,24851,1632091,7401,2495448,14053,11918,randall-cobb,randall-cobb,13227,1437,13615,9902,00-0028002,928
10312,24830,1633122,7444,2495438,14054,11897,kyle-rudolph,kyle-rudolph,13275,1467,13594,9906,00-0027981,943
10313,24822,1125961,7404,2495143,14012,11889,andy-dalton,andy-dalton,12841,1391,13586,9907,00-0027973,829
10314,24817,1630571,7391,2495490,13985,11884,muhammad-wilkerson,muhammad-wilkerson,12806,,,,00-0027968,819
10315,24829,1113452,7441,2495218,13997,11896,brooks-reed,brooks-reed,12951,,,9909,00-0027980,855
10318,24834,1117803,7425,2495187,14007,11901,lance-kendricks,lance-kendricks,13386,1466,13598,,00-0027985,964
10319,24808,1673342,7388,2508106,13968,11875,,phil-taylor,12885,,,,00-0027959,838
10320,24824,1243192,7445,2495228,14036,11891,jabaal-sheard,jabaal-sheard,12880,,,9914,00-0027975,836
10321,24827,1242983,7399,2495136,14026,11894,bruce-carter,bruce-carter,13112,,,,00-0027978,901
10322,24828,1262942,7422,2495178,14019,11895,jarvis-jenkins,jarvis-jenkins,13165,,,,00-0027979,916
10324,24837,1262941,7412,2495153,14018,11904,marcus-gilchrist,marcus-gilchrist,13085,,,9918,00-0027988,893
10327,24846,1242997,7427,2495192,14024,,,greg-little,,1448,,,00-0027997,835
10329,24852,1279455,7430,2495311,14014,11919,terrell-mcclain,terrell-mcclain,13319,,,,00-0028003,953
10332,24855,1116449,7446,2495229,13995,11922,kelvin-sheppard,kelvin-sheppard,12742,,,,00-0028006,799
10333,24856,1125381,7416,2508112,14009,11923,rob-housler,robert-housler,13406,1465,13620,,00-0028007,971
10334,24860,1244982,7443,2495470,14028,11927,stevan-ridley,stevan-ridley,12774,1423,13624,,00-0028011,811
10335,24864,1631879,7400,2495476,14047,11931,jurrell-casey,jurrell-casey,12912,,,9929,00-0028015,846
10336,24867,1273272,7403,2495142,14044,11934,chris-culliver,chris-culliver,13432,,,,00-0028018,976
10339,24871,1273119,7408,2495281,14023,11938,mason-foster,mason-foster,15146,,,,00-0028022,962
10341,24876,1117679,7455,2495251,14010,11943,shareece-wright,shareece-wright,13104,,,,00-0028027,897
10343,24878,1114916,7405,2495276,14006,11945,akeem-dent,akeem-dent,13285,,,,00-0028029,946
10344,24880,1272978,7402,2495272,14016,11947,chris-conte,chris-conte,13188,,,,00-0028031,923
10350,24886,1273493,7611,2495252,14140,11953,k-j-wright,kj-wright,13484,,,9944,00-0028037,998
10351,24887,1243007,7579,2495339,14143,11954,danorris-searcy,danorris-searcy,12741,,,,00-0028038,798
10352,24889,1244459,7477,2495267,14189,11956,jordan-cameron,jordan-cameron,12861,1461,13653,,00-0028040,833
10353,24890,1245216,7457,2495101,14152,11957,sam-acho,sam-acho,13400,,,,00-0028041,969
10354,24891,1125485,7589,2495234,14099,11958,luke-stocker,luke-stocker,13370,1469,13655,9948,00-0028042,963
10355,24892,1272498,7510,2495161,14192,11959,roy-helu,roy-helu,13163,1413,,,00-0028043,915
10360,24899,1137316,7572,2495223,14106,11966,greg-salas,greg-salas,13394,1455,13663,,00-0028050,968
10362,24901,1823890,7582,2495341,14184,11968,cecil-shorts,cecil-shorts,13002,1457,13665,,00-0028052,866
10366,24908,1823870,7562,2499249,14072,11975,chris-prosinski,chris-prosinski,12997,,,,00-0028059,865
10368,24912,1682469,7526,2495467,14167,11979,taiwan-jones,taiwan-jones,13063,1416,13676,9962,00-0028063,886
10369,24913,1265393,7561,2495328,14129,11980,bilal-powell,bilal-powell,12800,1422,13677,,00-0028064,818
10372,24916,1755056,7595,2495353,14204,11983,julius-thomas,julius-thomas,13027,1471,13680,,00-0028067,874
10374,24918,1620126,7517,2495170,14157,11985,davon-house,davon-house,13236,,,,00-0028069,929
10378,24923,1277500,7580,2495340,14135,11990,anthony-sherman,anthony-sherman,13418,1427,13687,9972,00-0028074,973
10379,24924,1687803,7583,2495343,14139,11991,buster-skrine,buster-skrine,12881,,,9973,00-0028075,837
10383,24929,1115776,7532,2495300,14079,11996,karl-klug,karl-klug,12923,,,,00-0028080,847
10385,24931,1137501,7529,2495188,14122,11998,shiloh-keo,shiloh-keo,12943,,,,00-0028082,852
10389,24936,1664753,7535,2495469,14198,12003,dion-lewis,dion-lewis,12708,1418,13700,9983,00-0028087,788
10391,24939,1823918,7612,2508123,14114,12006,t-j-yates,taylor-yates,12956,1402,13703,,00-0028090,857
10392,24940,1273689,7530,2495189,14151,12007,jeremy-kerley,jeremy-kerley,12794,1447,13704,,00-0028091,817
10393,24941,1117823,7581,2495507,14086,12008,richard-sherman,richard-sherman,13479,,,9987,00-0028092,996
10394,24942,1272502,7556,2495211,14156,12009,niles-paul,niles-paul,13170,1451,13706,,00-0028093,918
10398,24946,1276441,7585,2495347,14215,12013,lee-smith,lee-smith,12777,1468,13710,9992,00-0028097,812
10400,24949,1621066,7481,2508126,14174,12016,chris-carter,chris-carter,12891,1383,,,00-0028100,841
10402,24952,1664023,7546,2495201,14202,12019,pernell-mcphee,pernell-mcphee,12822,,,9996,00-0028103,823
10408,24960,1242845,7542,2495310,14133,12027,byron-maxwell,byron-maxwell,13472,,,,00-0028111,993
10409,24961,1265552,7488,2495139,14145,12028,charles-clay,charles-clay,12751,1408,13725,,00-0028112,801
10410,24963,1245905,7508,2495159,14100,12030,dwayne-harris,dwayne-harris,13117,1443,13727,10004,00-0028114,902
10412,24965,1273600,7565,2495331,14164,12032,aldrick-robinson,aldrick-robinson,13171,1454,13729,,00-0028116,919
10413,24967,1243338,7592,2495240,14163,12034,tyrod-taylor,tyrod-taylor,12831,1401,13731,10007,00-0028118,827
10422,24977,1823836,7524,2499257,14117,12044,colin-jones,colin-jones,13442,,,,00-0028128,979
10426,24982,1272413,7593,2508132,14205,12049,j-t-thomas,james-thomas,13205,,,,,925
