id,nfl_id,team,Intercept,season_mean
0519,100026,ARI,9.08675,0.06835
0526,100001,ATL,7.86795,0.06835
0531,100002,BAL,8.06938,0.06835
0501,100003,BUF,9.56844,0.06835
0527,100004,CAR,6.99459,0.06835
0521,100005,CHI,7.15851,0.06835
0506,100006,CIN,9.5724,0.06835
0507,100007,CLE,5.93836,0.06835
0516,100008,DAL,8.23623,0.06835
0511,100009,DEN,9.04154,0.06835
0522,100010,DET,9.60949,0.06835
0523,100011,GB,8.19213,0.06835
0532,100013,HOU,5.77739,0.06835
0502,100014,IND,7.05079,0.06835
0509,100015,JAC,10.40093,0.06835
0512,100016,KC,5.49943,0.06835
0514,100028,LAC,8.38926,0.06835
0528,100017,LAR,9.05735,0.06835
0513,100018,LV,7.38012,0.06835
0503,100019,MIA,6.97483,0.06835
0524,100020,MIN,7.3189,0.06835
0504,100021,NE,8.29852,0.06835
0529,100022,NO,8.52485,0.06835
0517,100023,NYG,5.36432,0.06835
0505,100024,NYJ,8.18341,0.06835
0518,100025,PHI,7.97721,0.06835
0510,100027,PIT,7.86731,0.06835
0515,100030,SEA,9.60699,0.06835
0530,100029,SF,6.91,0.06835
0525,100031,TB,7.51313,0.06835
0508,100012,TEN,9.13926,0.06835
0520,100032,WAS,7.29127,0.06835
