name,team,games
Josh Allen,BUF,16.81093605189991
Jalen Hurts,PHI,16.810760667903526
Jayden Daniels,WAS,16.79052132701422
Lamar Jackson,BAL,16.811460258780038
Drake Maye,NE,16.809701492537314
Dak Prescott,DAL,16.81301558203483
Patrick Mahomes,KC,16.811285846438484
Caleb Williams,CHI,16.809878844361602
Bo Nix,DEN,16.813357731015554
Justin Herbert,LAC,16.811460258780038
Jordan Love,GB,16.808090310442143
Joe Burrow,CIN,16.213248638838476
Trevor Lawrence,JAC,16.82828282828283
Matthew Stafford,LAR,16.222323879231475
C.J. Stroud,HOU,16.827490774907748
Baker Mayfield,TB,16.825722273998135
Kyler Murray,MIN,15.448730009407338
Jaxson Dart,NYG,16.219306466729147
Brock Purdy,SF,16.20531622364803
Jared Goff,DET,16.811981566820275
Tyler Shough,NO,16.809701492537314
Sam Darnold,SEA,16.81111111111111
Cam Ward,TEN,16.809345794392524
Bryce Young,CAR,16.824082784571967
Malik Willis,MIA,16.817204301075268
Geno Smith,NYJ,16.20892687559354
Jacoby Brissett,ARI,15.467881112176414
Aaron Rodgers,PIT,14.530726256983241
Deshaun Watson,CLE,16.80952380952381
Fernando Mendoza,LV,12.876318312559924
Daniel Jones,IND,10.465225563909774
Michael Penix Jr.,ATL,9.49476688867745
Tua Tagovailoa,ATL,7.50523311132255
Anthony Richardson,IND,6.071428571428571
Kirk Cousins,LV,4.10738255033557
Will Howard,PIT,1.6936685288640596
J.J. McCarthy,MIN,1.5192850423330198
Gardner Minshew II,ARI,1.5158197507190796
Joe Flacco,CIN,0.7713248638838476
Ty Simpson,LAR,0.7621225983531564
Mac Jones,SF,0.763519706691109
Mason Rudolph,PIT,0.7756052141527002
Cade Klubnik,NYJ,0.774928774928775
Jameis Winston,NYG,0.7647610121836926
Riley Leonard,IND,0.4633458646616541
Joe Milton III,DAL,0.17140238313473877
Jarrett Stidham,DEN,0.17108874656907594
Teddy Bridgewater,DET,0.17235023041474656
Tyrod Taylor,GB,0.17591721542803387
Tyson Bagent,CHI,0.17427772600186395
Tyler Huntley,BAL,0.17282809611829944
Justin Fields,KC,0.17298797409805736
Drew Lock,SEA,0.17314814814814816
Tanner McKee,PHI,0.17346938775510204
Trey Lance,LAC,0.17282809611829944
Kyle Allen,BUF,0.1733086190917516
Davis Mills,HOU,0.17250922509225092
Jake Browning,TB,0.17427772600186395
Tommy DeVito,NE,0.17444029850746268
Marcus Mariota,WAS,0.17725118483412322
Nick Mullens,JAC,0.17171717171717174
Mitch Trubisky,TEN,0.17476635514018693
Shedeur Sanders,CLE,0.1746031746031746
Spencer Rattler,NO,0.17444029850746268
Kenny Pickett,CAR,0.17591721542803387
Quinn Ewers,MIA,0.16617790811339198
Josh Johnson,CIN,0.01542649727767695
Stetson Bennett,LAR,0.01555352241537054
Jalen Milroe,SEA,0.015740740740740743
Behren Morton,NE,0.01585820895522388
Adrian Martinez,SF,0.015582034830430799
Sam Howell,DAL,0.015582034830430799
Andy Dalton,PHI,0.015769944341372914
Garrett Nussmeier,KC,0.01572617946345976
Kurtis Rourke,SF,0.015582034830430799
Kyle McCord,GB,0.01599247412982126
Shane Buechele,BUF,0.015755329008341055
Sam Ehlinger,DEN,0.01555352241537054
Zach Wilson,NO,0.01585820895522388
Skylar Thompson,BAL,0.015711645101663587
Sam Hartman,WAS,0.016113744075829384
Max Brosmer,MIN,0.01599247412982126
Dillon Gabriel,CLE,0.015873015873015872
DJ Uiagalelei,LAC,0.015711645101663587
Carson Wentz,MIN,0.01599247412982126
Athan Kaliakmanis,WAS,0.016113744075829384
Luke Altmyer,DET,0.01566820276497696
Case Keenum,CHI,0.015843429636533086
Brady Cook,NYJ,0.016144349477682812
Carson Beck,ARI,0.016299137104506232
Will Levis,TEN,0.01588785046728972
Aidan O’Connell,LV,0.016299137104506232
Brandon Allen,NYG,0.015932521087160263
Cam Miller,MIA,0.016617790811339198
